date,medicine_id,medicine_name,category,sales,price,base_criticality,day_of_week,month,year,is_weekend,season,season_name,current_stock,lag_1,lag_3,lag_7,lag_14,lag_30,rolling_mean_7,rolling_mean_14,rolling_mean_30
2024-01-01,MED001,Paracétamol 500mg,Antalgique,96,1500,9,0,1,2024,0,0,dry,4178,,,,,,96.0,96.0,96.0
2024-01-01,MED002,Amoxicilline 500mg,Antibiotique,59,3500,8,0,1,2024,0,0,dry,1944,,,,,,59.0,59.0,59.0
2024-01-01,MED003,Arthéméther 20mg,Antipaludéen,49,2500,10,0,1,2024,0,0,dry,964,,,,,,49.0,49.0,49.0
2024-01-01,MED004,SRO (Sel Réhydratation),Réhydratation,20,500,9,0,1,2024,0,0,dry,819,,,,,,20.0,20.0,20.0
2024-01-01,MED005,Métronidazole 250mg,Antiparasitaire,28,2000,7,0,1,2024,0,0,dry,1014,,,,,,28.0,28.0,28.0
2024-01-01,MED006,Ibuprofène 400mg,Anti-inflammatoire,46,1800,6,0,1,2024,0,0,dry,2028,,,,,,46.0,46.0,46.0
2024-01-01,MED007,Ciprofloxacine 500mg,Antibiotique,35,4000,8,0,1,2024,0,0,dry,747,,,,,,35.0,35.0,35.0
2024-01-01,MED008,Quinine 300mg,Antipaludéen,16,5000,9,0,1,2024,0,0,dry,328,,,,,,16.0,16.0,16.0
2024-01-01,MED009,ORS + Zinc,Réhydratation,27,800,8,0,1,2024,0,0,dry,830,,,,,,27.0,27.0,27.0
2024-01-01,MED010,Ceftriaxone 1g,Antibiotique,16,6000,9,0,1,2024,0,0,dry,379,,,,,,16.0,16.0,16.0
2024-01-01,MED011,Vaccin Méningite,Vaccin,20,8000,10,0,1,2024,0,0,dry,383,,,,,,20.0,20.0,20.0
2024-01-01,MED012,Moustiquaire imprégnée,Prévention,14,3000,8,0,1,2024,0,0,dry,363,,,,,,14.0,14.0,14.0
2024-01-01,MED013,Cétirizine 10mg,Antiallergique,57,1200,5,0,1,2024,0,0,dry,2197,,,,,,57.0,57.0,57.0
2024-01-01,MED014,Oméprazole 20mg,Gastrique,42,2500,6,0,1,2024,0,0,dry,1277,,,,,,42.0,42.0,42.0
2024-01-01,MED015,Salbutamol inhalateur,Respiratoire,49,4500,7,0,1,2024,0,0,dry,803,,,,,,49.0,49.0,49.0
2024-01-02,MED001,Paracétamol 500mg,Antalgique,110,1500,9,1,1,2024,0,0,dry,2212,96.0,,,,,103.0,103.0,103.0
2024-01-02,MED002,Amoxicilline 500mg,Antibiotique,38,3500,8,1,1,2024,0,0,dry,1651,59.0,,,,,48.5,48.5,48.5
2024-01-02,MED003,Arthéméther 20mg,Antipaludéen,79,2500,10,1,1,2024,0,0,dry,3100,49.0,,,,,64.0,64.0,64.0
2024-01-02,MED004,SRO (Sel Réhydratation),Réhydratation,24,500,9,1,1,2024,0,0,dry,430,20.0,,,,,22.0,22.0,22.0
2024-01-02,MED005,Métronidazole 250mg,Antiparasitaire,30,2000,7,1,1,2024,0,0,dry,846,28.0,,,,,29.0,29.0,29.0
2024-01-02,MED006,Ibuprofène 400mg,Anti-inflammatoire,50,1800,6,1,1,2024,0,0,dry,1492,46.0,,,,,48.0,48.0,48.0
2024-01-02,MED007,Ciprofloxacine 500mg,Antibiotique,21,4000,8,1,1,2024,0,0,dry,887,35.0,,,,,28.0,28.0,28.0
2024-01-02,MED008,Quinine 300mg,Antipaludéen,17,5000,9,1,1,2024,0,0,dry,592,16.0,,,,,16.5,16.5,16.5
2024-01-02,MED009,ORS + Zinc,Réhydratation,27,800,8,1,1,2024,0,0,dry,826,27.0,,,,,27.0,27.0,27.0
2024-01-02,MED010,Ceftriaxone 1g,Antibiotique,18,6000,9,1,1,2024,0,0,dry,369,16.0,,,,,17.0,17.0,17.0
2024-01-02,MED011,Vaccin Méningite,Vaccin,24,8000,10,1,1,2024,0,0,dry,918,20.0,,,,,22.0,22.0,22.0
2024-01-02,MED012,Moustiquaire imprégnée,Prévention,20,3000,8,1,1,2024,0,0,dry,836,14.0,,,,,17.0,17.0,17.0
2024-01-02,MED013,Cétirizine 10mg,Antiallergique,62,1200,5,1,1,2024,0,0,dry,2644,57.0,,,,,59.5,59.5,59.5
2024-01-02,MED014,Oméprazole 20mg,Gastrique,39,2500,6,1,1,2024,0,0,dry,814,42.0,,,,,40.5,40.5,40.5
2024-01-02,MED015,Salbutamol inhalateur,Respiratoire,34,4500,7,1,1,2024,0,0,dry,841,49.0,,,,,41.5,41.5,41.5
2024-01-03,MED001,Paracétamol 500mg,Antalgique,97,1500,9,2,1,2024,0,0,dry,2244,110.0,,,,,101.0,101.0,101.0
2024-01-03,MED002,Amoxicilline 500mg,Antibiotique,63,3500,8,2,1,2024,0,0,dry,1619,38.0,,,,,53.333333333333336,53.333333333333336,53.333333333333336
2024-01-03,MED003,Arthéméther 20mg,Antipaludéen,54,2500,10,2,1,2024,0,0,dry,1689,79.0,,,,,60.666666666666664,60.666666666666664,60.666666666666664
2024-01-03,MED004,SRO (Sel Réhydratation),Réhydratation,21,500,9,2,1,2024,0,0,dry,820,24.0,,,,,21.666666666666668,21.666666666666668,21.666666666666668
2024-01-03,MED005,Métronidazole 250mg,Antiparasitaire,20,2000,7,2,1,2024,0,0,dry,892,30.0,,,,,26.0,26.0,26.0
2024-01-03,MED006,Ibuprofène 400mg,Anti-inflammatoire,75,1800,6,2,1,2024,0,0,dry,1572,50.0,,,,,57.0,57.0,57.0
2024-01-03,MED007,Ciprofloxacine 500mg,Antibiotique,20,4000,8,2,1,2024,0,0,dry,789,21.0,,,,,25.333333333333332,25.333333333333332,25.333333333333332
2024-01-03,MED008,Quinine 300mg,Antipaludéen,23,5000,9,2,1,2024,0,0,dry,848,17.0,,,,,18.666666666666668,18.666666666666668,18.666666666666668
2024-01-03,MED009,ORS + Zinc,Réhydratation,36,800,8,2,1,2024,0,0,dry,619,27.0,,,,,30.0,30.0,30.0
2024-01-03,MED010,Ceftriaxone 1g,Antibiotique,16,6000,9,2,1,2024,0,0,dry,295,18.0,,,,,16.666666666666668,16.666666666666668,16.666666666666668
2024-01-03,MED011,Vaccin Méningite,Vaccin,23,8000,10,2,1,2024,0,0,dry,775,24.0,,,,,22.333333333333332,22.333333333333332,22.333333333333332
2024-01-03,MED012,Moustiquaire imprégnée,Prévention,14,3000,8,2,1,2024,0,0,dry,236,20.0,,,,,16.0,16.0,16.0
2024-01-03,MED013,Cétirizine 10mg,Antiallergique,52,1200,5,2,1,2024,0,0,dry,1287,62.0,,,,,57.0,57.0,57.0
2024-01-03,MED014,Oméprazole 20mg,Gastrique,59,2500,6,2,1,2024,0,0,dry,2013,39.0,,,,,46.666666666666664,46.666666666666664,46.666666666666664
2024-01-03,MED015,Salbutamol inhalateur,Respiratoire,57,4500,7,2,1,2024,0,0,dry,1662,34.0,,,,,46.666666666666664,46.666666666666664,46.666666666666664
2024-01-04,MED001,Paracétamol 500mg,Antalgique,61,1500,9,3,1,2024,0,0,dry,2220,97.0,96.0,,,,91.0,91.0,91.0
2024-01-04,MED002,Amoxicilline 500mg,Antibiotique,46,3500,8,3,1,2024,0,0,dry,1464,63.0,59.0,,,,51.5,51.5,51.5
2024-01-04,MED003,Arthéméther 20mg,Antipaludéen,55,2500,10,3,1,2024,0,0,dry,1639,54.0,49.0,,,,59.25,59.25,59.25
2024-01-04,MED004,SRO (Sel Réhydratation),Réhydratation,21,500,9,3,1,2024,0,0,dry,584,21.0,20.0,,,,21.5,21.5,21.5
2024-01-04,MED005,Métronidazole 250mg,Antiparasitaire,15,2000,7,3,1,2024,0,0,dry,273,20.0,28.0,,,,23.25,23.25,23.25
2024-01-04,MED006,Ibuprofène 400mg,Anti-inflammatoire,35,1800,6,3,1,2024,0,0,dry,1193,75.0,46.0,,,,51.5,51.5,51.5
2024-01-04,MED007,Ciprofloxacine 500mg,Antibiotique,19,4000,8,3,1,2024,0,0,dry,574,20.0,35.0,,,,23.75,23.75,23.75
2024-01-04,MED008,Quinine 300mg,Antipaludéen,19,5000,9,3,1,2024,0,0,dry,427,23.0,16.0,,,,18.75,18.75,18.75
2024-01-04,MED009,ORS + Zinc,Réhydratation,22,800,8,3,1,2024,0,0,dry,828,36.0,27.0,,,,28.0,28.0,28.0
2024-01-04,MED010,Ceftriaxone 1g,Antibiotique,11,6000,9,3,1,2024,0,0,dry,190,16.0,16.0,,,,15.25,15.25,15.25
